Distance [mm];By [];Bag;#;;;
96,16014472;0,407588466;0,453;178;2,23318032;0,402149444;127,9518072
96,70342238;0,404242649;0,453;179;2,245797158;0,39816028;128,6746988
97,24670003;0,400838584;0,453;180;2,258413996;0,394107736;129,3975904
97,78997768;0,397376266;0,453;181;2,271030834;0,389992457;130,1204819
98,33325534;0,393855687;0,453;182;2,283647672;0,385815098;130,8433735
98,87653299;0,390276844;0,453;183;2,29626451;0,381576324;131,5662651
99,41981065;0,386639731;0,453;184;2,308881348;0,37727681;132,2891566
99,9630883;0,382944342;0,453;185;2,321498186;0,37291724;133,0120482
100,506366;0,379190671;0,453;186;2,334115025;0,368498308;133,7349398
101,0496436;0,375378713;0,453;187;2,346731861;0,364020718;134,4578313
101,5929213;0,371508462;0,453;188;2,359348701;0,359485181;135,1807229
102,1361989;0,367579914;0,453;189;2,371965537;0,354892421;135,9036144
102,6794766;0,363593062;0,453;190;2,384582376;0,350243168;136,6265061
103,2227542;0,359547901;0,453;191;2,397199213;0,345538164;137,3493976
103,7660319;0,355444425;0,453;192;2,409816052;0,340778155;138,0722892
104,3093095;0,351282629;0,453;193;2,422432889;0,3359639;138,7951807
104,8525872;0,347062508;0,453;194;2,435049728;0,331096166;139,5180723
105,3958648;0,342784055;0,453;195;2,447666565;0,326175727;140,2409638
105,9391425;0,338447266;0,453;196;2,460283404;0,321203366;140,9638554
106,4824201;0,334052135;0,453;197;2,47290024;0,316179876;141,6867469
107,0256978;0,329598656;0,453;198;2,485517079;0,311106055;142,4096386
107,5689755;0,325086824;0,453;199;2,498133918;0,305982711;143,1325302
108,1122531;0,320516634;0,453;200;2,510750755;0,300810661;143,8554217
108,6555308;0,31588808;0,453;201;2,523367594;0,295590727;144,5783133
109,1988084;0,311201156;0,453;202;2,535984431;0,29032374;145,3012048
109,7420861;0,306455857;0,453;203;2,54860127;0,285010538;146,0240964
110,2853637;0,301652177;0,453;204;2,561218107;0,279651968;146,7469879
110,8286414;0,296790112;0,453;205;2,573834946;0,274248882;147,4698795
111,371919;0,291912169;0,453;206;2,586451782;0,268802141;148,192771
111,9151967;0,287762558;0,453;207;2,599068621;0,26331261;148,9156627
112,4584743;0,281619046;0,453;208;2,611685458;0,257781166;149,6385542
113,001752;0,275678545;0,453;209;2,624302297;0,252208686;150,3614458
113,5450296;0,269708665;0,453;210;2,636919134;0,246596061;151,0843373
114,0883073;0,263708629;0,453;211;2,649535973;0,24094418;151,8072289
114,631585;0,257667213;0,453;212;2,662152812;0,235253945;152,5301205
115,1748626;0,251597034;0,453;213;2,674769649;0,229526263;153,253012
115,7181403;0,245498092;0,453;214;2,687386488;0,223762044;153,9759037
116,2614179;0,239370387;0,453;215;2,700003324;0,217962206;154,6987952
116,8046956;0,233213918;0,453;216;2,712620163;0,212127672;155,4216868
117,3479732;0,227028686;0,453;217;2,725237;0,206259371;156,1445783
117,8912509;0,22081469;0,453;218;2,737853839;0,200358237;156,8674699
118,4345285;0,214571928;0,453;219;2,750470676;0,19442521;157,5903614
118,9778062;0,208300402;0,453;220;2,763087515;0,188461234;158,313253
119,5210838;0,202000111;0,453;221;2,775704352;0,182467258;159,0361445
120,0643615;0,195671054;0,453;222;2,788321191;0,176444236;159,7590362
120,6076391;0,189313231;0,453;223;2,800938027;0,170393128;160,4819276
121,1509168;0,182926642;0,453;224;2,813554866;0,164314895;161,2048193
121,6941945;0,176511286;0,453;225;2,826171705;0,158210507;161,9277109
122,2374721;0,170067163;0,453;226;2,838788542;0,152080935;162,6506024
122,7807498;0,163594273;0,453;227;2,851405381;0,145927153;163,373494
123,3240274;0,157092615;0,453;228;2,864022218;0,139750143;164,0963855
123,8673051;0,150562189;0,453;229;2,876639057;0,133550887;164,8192771
124,4105827;0,144002995;0,453;230;2,889255894;0,127330373;165,5421686
124,9538604;0,137415032;0,453;231;2,901872733;0,121089588;166,2650603
125,497138;0,1307983;0,453;232;2,914489569;0,11482953;166,9879518
126,0404157;0,124152799;0,453;233;2,927106409;0,108551192;167,7108434
126,5836933;0,117478528;0,453;234;2,939723245;0,102255575;168,4337349
127,126971;0,110775487;0,453;235;2,952340084;0,09594368;169,1566265
127,6702486;0,103872933;0,453;236;2,964956921;0,089616513;169,879518
128,2135263;0,096937986;0,453;237;2,97757376;0,08327508;170,6024096
128,756804;0,090004264;0,453;238;2,990190599;0,076920391;171,3253013
129,3000816;0,083071767;0,453;239;3,002807436;0,070553459;172,0481928
129,8433593;0,076140495;0,453;240;3,015424275;0,064175294;172,7710844
130,3866369;0,069210446;0,453;241;3,028041112;0,057786916;173,4939759
130,9299146;0,062281621;0,453;242;3,040657951;0,051389337;174,2168675
131,4731922;0,055354019;0,453;243;3,053274787;0,04498358;174,939759
132,0164699;0,048427639;0,453;244;3,065891626;0,03857066;175,6626506
132,5597475;0,041502481;0,453;245;3,078508463;0,032151602;176,3855421
133,1030252;0,034578545;0,453;246;3,091125302;0,025727425;177,1084338
133,6463028;0,027655829;0,453;247;3,103742139;0,019299154;177,8313252
