"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
73,03679321;-0,622128073;-0,57;87;-0,612024529
73,23052476;-0,623409323;-0,57;88;-0,615602104
73,4242563;-0,624658281;-0,57;89;-0,619072418
73,61798785;-0,625926867;-0,57;90;-0,622434868
73,8117194;-0,627214945;-0,57;91;-0,625688866
74,00545094;-0,628468752;-0,57;92;-0,628833846
74,19918249;-0,629688289;-0,57;93;-0,631869261
74,39291404;-0,630873553;-0,57;94;-0,63479458
74,58664558;-0,632024544;-0,57;95;-0,637609295
74,78037713;-0,633141261;-0,57;96;-0,640312916
74,97410868;-0,634223703;-0,57;97;-0,64290497
75,16784022;-0,63527187;-0,57;98;-0,645385007
75,36157177;-0,63628576;-0,57;99;-0,647752593
75,55530332;-0,637265374;-0,57;100;-0,650007318
75,74903487;-0,638210709;-0,57;101;-0,652148788
75,94276641;-0,639121766;-0,57;102;-0,654176629
76,13649796;-0,639998544;-0,57;103;-0,656090489
76,33022951;-0,640841042;-0,57;104;-0,657890034
76,52396105;-0,641649258;-0,57;105;-0,65957495
76,7176926;-0,642423194;-0,57;106;-0,661144944
76,91142415;-0,643162847;-0,57;107;-0,662599742
77,10515569;-0,643868217;-0,57;108;-0,663939092
77,29888724;-0,644539304;-0,57;109;-0,665162758
77,49261879;-0,645176107;-0,57;110;-0,666270529
77,68635034;-0,645778625;-0,57;111;-0,667262212
77,88008188;-0,646346858;-0,57;112;-0,668137632
78,07381343;-0,646880805;-0,57;113;-0,668896639
78,26754498;-0,647380465;-0,57;114;-0,669539099
78,46127652;-0,647845838;-0,57;115;-0,670064901
78,65500807;-0,648276924;-0,57;116;-0,670473954
78,84873962;-0,648673721;-0,57;117;-0,670766185
79,04247116;-0,64903623;-0,57;118;-0,670941544
79,23620271;-0,64936445;-0,57;119;-0,671
79,42993426;-0,649658379;-0,57;120;-0,670941544
79,62366581;-0,649918019;-0,57;121;-0,670766185
79,81739735;-0,650143368;-0,57;122;-0,670473954
80,0111289;-0,650334426;-0,57;123;-0,670064901
80,20486045;-0,650491192;-0,57;124;-0,669539099
80,39859199;-0,650613666;-0,57;125;-0,668896639
80,59232354;-0,650701848;-0,57;126;-0,668137632
80,78605509;-0,650755737;-0,57;127;-0,667262212
80,97978663;-0,650775332;-0,57;128;-0,666270529
81,17351818;-0,650760634;-0,57;129;-0,665162758
81,36724973;-0,650594117;-0,57;130;-0,663939092
81,56098127;-0,649727362;-0,57;131;-0,662599742
81,75471282;-0,648829969;-0,57;132;-0,661144944
81,94844437;-0,647901946;-0,57;133;-0,65957495
82,14217592;-0,646943301;-0,57;134;-0,657890034
82,33590746;-0,645954043;-0,57;135;-0,656090489
82,52963901;-0,644934181;-0,57;136;-0,654176629
82,72337056;-0,643883721;-0,57;137;-0,652148788
